relative_path;date;year;series_id;family;regimen_gy;dose_sum_gy;dose2_sum_gy2;n_animals;control_file;control_match;nearest_control;nearest_control_gap_days;duplicate_of;data_quality_note;included_analysis;included_strict;exclusion_reason;sf_eff;sf_time_day;sf_se;sf_ci_low;sf_ci_high;sf_bootstrap_success;aligned_time_points
Новые оцифрованные данные для анализа\1_02.11.2017_p32.xlsx;2017-11-02;2017;2017-11-02;p_through;32;32.0;1024.0;6;control_02.11.2017.xlsx;same_date;control_02.11.2017.xlsx;0;;;1;1;;0.05454521541127041;25.0;0.013391124507854315;0.0295965432235426;0.07928407554124635;500;10
Новые оцифрованные данные для анализа\1_04.05.2017_p36.xlsx;2017-05-04;2017;2017-05-04;p_through;36;36.0;1296.0;6;control_04.05.2017.xlsx;same_date;control_04.05.2017.xlsx;0;;;1;1;;0.016679790675059616;17.0;0.005556707675249854;0.006803936922838288;0.027180376954603833;500;11
Новые оцифрованные данные для анализа\1_14.06.2022_p36_in_peak.xlsx;2022-06-14;2022;2022-06-14;p_peak;36;36.0;1296.0;7;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;1252;;nearest_date_proxy_control;1;0;;0.02171736634392216;13.0;0.0056782917732441825;0.012264326389602384;0.03408168136871486;500;11
Новые оцифрованные данные для анализа\20.03.2020_e32.xlsx;2020-03-20;2020;2020-03-20;e;32;32.0;1024.0;8;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;674;;nearest_date_proxy_control;1;0;;0.015685651923702474;20.0;0.0047792914776779724;0.0070374954965102;0.025786751726426593;500;7
Новые оцифрованные данные для анализа\20.03.2020_e36.xlsx;2020-03-20;2020;2020-03-20;e;36;36.0;1296.0;8;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;674;;nearest_date_proxy_control;1;0;;0.00432027510052;21.0;0.002049579588052871;0.0006751722648143224;0.008327636875110704;500;7
Новые оцифрованные данные для анализа\20.06.2022_e36.xlsx;2022-06-20;2022;2022-06-20;e;36;36.0;1296.0;4;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;1246;;nearest_date_proxy_control;1;0;;0.0010201922576415475;25.0;0.0019902707124697084;0.0005964378882069353;0.009103382362239948;500;11
Новые оцифрованные данные для анализа\23.03.2023_e36.xlsx;2023-03-23;2023;2023-03-23;e;36;36.0;1296.0;6;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;970;;nearest_date_proxy_control;1;0;;0.21007931542828337;25.0;0.046913554511153595;0.13727385210490758;0.30782853239073465;500;11
Новые оцифрованные данные для анализа\23.03.2023_e47.xlsx;2023-03-23;2023;2023-03-23;e;47;47.0;2209.0;6;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;970;;nearest_date_proxy_control;1;0;;0.09636266024662157;22.0;0.023629437199550796;0.06169088238227935;0.14723337851320684;500;10
Новые оцифрованные данные для анализа\23.05.2019_p32.xlsx;2019-05-23;2019;2019-05-23;p_through;32;32.0;1024.0;8;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;372;;nearest_date_proxy_control;1;0;;0.05130267167423202;14.0;0.016157814965952783;0.01908367566781626;0.0811007965127463;500;9
Новые оцифрованные данные для анализа\23.06.2022_e36.xlsx;2022-06-23;2022;2022-06-23;e;36;36.0;1296.0;4;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;1243;;nearest_date_proxy_control;1;0;;0.0013107252701438142;25.0;0.0009024673548600484;0.00034735357926422714;0.003916750411605887;500;12
Новые оцифрованные данные для анализа\25.05.2016_y32.xlsx;2016-05-25;2016;2016-05-25;y;32;32.0;1024.0;8;control_08.06.2016.xlsx;nearest_available_proxy;control_08.06.2016.xlsx;14;;nearest_date_proxy_control;1;0;;0.07866950087171842;14.0;0.012540360494553014;0.054086216858780845;0.10153391457404773;500;10
